source_testname,source_units,value_count
Fibrinogen,g/L,4458
Fibrinogen (assay),g/L,240
Free kappa,mg/L,772
Free Kappa,mg/L,1304
Free. Kappa,mg/L,13
Free lambda,mg/L,771
Free Lambda,mg/L,1304
Free. Lambda,mg/L,13
Free T3,pmol/L,437
Free T4,pmol/L,7944
Free Thyroxine,pmol/L,1531
FT3,pmol/L,1616
FT4,pmol/L,23080
FX1,kAU/L,1
FX22,kAU/L,1
FX2 Fish Screen,kAU/L,3
FX5,kAU/L,4
G6PD assay,IU/gHb,3
G6PD Assay,U/g Hb,1
Galactocerebrosidase (Krabbe Leucodystrophy),umol/g.h,3
Gamma Globulin,g/L,392
Gamma M Band 1,g/L,175
Gamma M Band 2,g/L,24
Gamma Paraprotein 1,g/L,2215
Gamma Paraprotein 2,g/L,558
Gamma Paraprotein 3,g/L,94
Gamma Paraprotein 4,g/L,21
Gastrin,pmol/L,21
GGT,U/L,78937
Globulin,g/L,125674
Globulins,g/L,60640
GLU,mmol/L,31
Glucagon,pmol/L,19
Gluc.-fasting,mmol/L,2831
Glucose,mmol/L,194705
Gluten IgE (f79),kAU/L,1
Haemoglobin,g/L,13
Haemoglobin A2,%,13
Haemoglobin F,%,10
Haemopexin,g/L,15
Haptoglobin,g/L,20
Hb,g/L,301553
HB,g/L,31
Hb A1c,mmol/mol,5609
Hct,,301590
HCT,%PCV,31
HDL-C,mmol/L,9466
HDLC,mmol/L,26543
Holotranscobalamin,pmol/L,1800
Homocysteine,umol/L,2
Horse dander (e3),kAU/L,7
House dust mite (d1),kAU/L,7
Hydroxyindole Acetic Acid(HIAA) Excretion,umol/24h,101
IgA,g/L,2052
IGF1,nmol/L,138
IGF Binding Protein 3,mg/L,1
IgG,g/L,2052
IgG1,g/L,88
IgG2,g/L,89
IgG3,g/L,88
IgG4,g/L,89
Igg A,g/L,4916
Igg G,g/L,4916
Igg M,g/L,4915
IgG to Aspergillus,mg/L,117
IgG to Pigeon serum,mg/L,86
IgGTTG,u/mL,108
IgM,g/L,2053
IgM beta 2 - Glycoprotein 1,U/ml,34
Immunoglobulins A,g/L,861
Immunoglobulins G,g/L,826
Immunoglobulins M,g/L,852
Inhalant screen (phad),PAU/L,26
Intrinsic Factor Antibody,AU,234
Iron,umol/L,11603
K,mmol/L,234074
kappa/lambda Ratio,,772
Kappa./Lambda. Ratio,,17
Kappa/Lambda Ratio,,1300
Lactate,mmol/L,6187
Lactate dehydrogenase,U/L,660
Lactate Dehydrogenase,U/L,1077
LDL,mmol/L,1292
LDLC,mmol/L,4062
lgG anticardiolipin,GPL units/mL,34
lgG anticardiolipIn,GPL units/mL,58
lgG beta 2 - Glycoprotein 1,U/ml,33
lgM anticardiolipin,MPL units/mL,90
Lithium,mmol/L,616
Low sensitivity APTT,s,60
Lupus sensitive APTT ratio,,65
Lupus Sensitive APTT screen ratio,,1
Lymphocytes,10^9/L,301866
Lyso-globotriaosylceramide,ng/mL,2
Magnesium                  :,mmol/L,45272
MCH,pg,301595
MCV,fL,301474
Methaemoglobin,%,6205
Methionine,umol/L,1
Methotrexate,umol/L,12
Methylmalonic Acid,nmol/L,3
Micropolyspora faeni,mg/L,54
Mixed moulds (Mx1),kAU/L,7
Mixed tree pollen (Tx8),kAU/L,7
Mixed weed pollen (Wx3),kAU/L,7
Molybdenum,nmol/L,2
Monoclonal free Protein S,%,6
Monocytes,10^9/L,301766
Monomeric (biologically active) Prolactin,mIU/L,17
Monomeric Prolactin,mIU/L,17
MP0 ELISA,iu/mL,1353
Na,mmol/L,238604
Net Bilirubin Absorbance,u,15
Neutrophils,10^9/L,301866
NK CELLS ABS,10^9/L,14
NRBC,10^9/L,90081
NTproBNP,ng/L,9561
Oestradiol :,pmol/L,7
Pancreatic Polypeptide,pmol/L,17
Paracetamol,mg/L,280
Paraprotein,g/L,14
Parathyroid Hormone,pmol/L,6021
PCNA,U/mL,6
PCO2,kPa,6294
Penicillium chrysogenum (m1),kAU/L,2
pH,,6317
Phenobarbitone,mg/L,3
Phenytoin,mg/L,70
Phosphate,mmol/L,85167
Phospholipase-2 receptor Ab,RU/mL,49
PIVKA II,mAU/mL,1
Plasma Adrenaline,nmol/L,2
Plasma Aspartylglucosamine (Aspartylgucosaminuria),umol/L.h,1
Plasma beta-hexosaminidase A & B (Sandhoff's Disease),umol/L.h,1
Plasma beta-Hexosaminidase A (Tay-Sachs Disease),umol/L.h,1
Plasma beta-hexosaminidase (Sandhoff's Disease),umol/L.h,2
Plasma beta-Mannosidase (beta-Mannosidosis),umol/L.h,3
Plasma B Hexosaminidas A (Tay-Sachs Disease),umol/L.h,2
Plasma Chitotriosidase (Non-specific marker of storage),umol/L.h,1
Plasma Glycoaspariginase (Aspartylgucosaminuria),umol/L.h,2
Plasma Insulin,pmol/L,16
Plasma Lactate,mmol/L,456
Plasma Metanephrine,pmol/L,28
Plasma Noradrenaline,nmol/L,2
