image,tag,package,installed_version,fix_available_at,max_severity,cve_ids
ffcloud-cli,1.0.49,follow-redirects,1.15.2,1.15.6,MEDIUM,CVE-2024-28849
ffcloud-cli,1.0.49,follow-redirects,1.15.2,1.16.0,MEDIUM,GHSA-r4q5-vmmm-2653
ffcloud-cli,1.0.49,ip-address,9.0.5,10.1.1,MEDIUM,CVE-2026-42338
ffcloud-cli,1.0.49,lodash,4.17.21,4.17.23,MEDIUM,CVE-2025-13465
ffcloud-cli,1.0.49,tar,6.2.1,7.5.16,MEDIUM,CVE-2026-53655
ffcloud-cli,1.0.49,tar,6.2.1,7.5.17,MEDIUM,CVE-2026-59875
ffcloud-cli,1.0.49,tar,6.2.1,7.5.21,MEDIUM,GHSA-r292-9mhp-454m
ffcloud-cli,1.0.49,yaml,1.10.2,"2.8.3, 1.10.3",MEDIUM,CVE-2026-33532
ffcloud-service,1.0.817,brace-expansion,1.1.11,"5.0.5, 3.0.2, 2.0.3, 1.1.13",MEDIUM,CVE-2026-33750
ffcloud-service,1.0.817,brace-expansion,2.0.1,"5.0.5, 3.0.2, 2.0.3, 1.1.13",MEDIUM,CVE-2026-33750
ffcloud-service,1.0.817,ip-address,9.0.5,10.1.1,MEDIUM,CVE-2026-42338
ffcloud-service,1.0.817,protobufjs,7.4.0,"7.5.8, 8.2.0",MEDIUM,CVE-2026-45740
ffcloud-service,1.0.817,protobufjs,7.4.0,"7.6.3, 8.6.0",MEDIUM,CVE-2026-54269
