image,tag,package,installed_version,fix_available_at,max_severity,cve_ids
ffcloud-service,1.0.817,minimatch,9.0.4,"10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3",HIGH,CVE-2026-26996
ffcloud-service,1.0.817,minimatch,9.0.4,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.3",HIGH,CVE-2026-27903
ffcloud-service,1.0.817,minimatch,9.0.4,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.4",HIGH,CVE-2026-27904
ffcloud-service,1.0.817,minimatch,9.0.5,"10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3",HIGH,CVE-2026-26996
ffcloud-service,1.0.817,minimatch,9.0.5,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.3",HIGH,CVE-2026-27903
ffcloud-service,1.0.817,minimatch,9.0.5,"10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.4",HIGH,CVE-2026-27904
ffcloud-service,1.0.817,path-to-regexp,6.2.1,"1.9.0, 0.1.10, 8.0.0, 3.3.0, 6.3.0",HIGH,CVE-2024-45296
ffcloud-service,1.0.817,pdfjs-dist,2.15.349,4.2.67,HIGH,CVE-2024-4367
ffcloud-service,1.0.817,picomatch,2.3.1,"4.0.4, 3.0.2, 2.3.2",HIGH,CVE-2026-33671;CVE-2026-33672
ffcloud-service,1.0.817,protobufjs,7.4.0,"7.5.6, 8.0.2",HIGH,CVE-2026-44288;CVE-2026-44289;CVE-2026-44290;CVE-2026-44291;CVE-2026-44292;CVE-2026-44293;CVE-2026-44294
ffcloud-service,1.0.817,protobufjs,7.4.0,"7.6.1, 8.4.1",HIGH,CVE-2026-48712
ffcloud-service,1.0.817,semver,5.7.1,"7.5.2, 6.3.1, 5.7.2",HIGH,CVE-2022-25883
ffcloud-service,1.0.817,sigstore,3.0.0,4.1.1,HIGH,CVE-2026-48815
ffcloud-service,1.0.817,tar,6.1.13,7.5.3,HIGH,CVE-2026-23745
ffcloud-service,1.0.817,tar,6.1.13,7.5.4,HIGH,CVE-2026-23950
ffcloud-service,1.0.817,tar,6.1.13,7.5.7,HIGH,CVE-2026-24842
ffcloud-service,1.0.817,tar,6.1.13,7.5.8,HIGH,CVE-2026-26960
ffcloud-service,1.0.817,tar,6.1.13,7.5.10,HIGH,CVE-2026-29786
ffcloud-service,1.0.817,tar,6.1.13,7.5.11,HIGH,CVE-2026-31802
ffcloud-service,1.0.817,tar,6.1.13,7.5.18,HIGH,CVE-2026-59871;CVE-2026-59874
ffcloud-service,1.0.817,tar,6.2.1,7.5.3,HIGH,CVE-2026-23745
ffcloud-service,1.0.817,tar,6.2.1,7.5.4,HIGH,CVE-2026-23950
ffcloud-service,1.0.817,tar,6.2.1,7.5.7,HIGH,CVE-2026-24842
ffcloud-service,1.0.817,tar,6.2.1,7.5.8,HIGH,CVE-2026-26960
